[2023-01-18T23:30:56.792] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:31:13.072] [WARN] default - { rute: '/user/register', method: 'GET' }
[2023-01-18T23:31:13.406] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:31:14.865] [WARN] default - { rute: '/user/register', method: 'GET' }
[2023-01-18T23:31:15.160] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:32:04.151] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:32:20.240] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-18T23:32:20.248] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-18T23:32:20.957] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:33:41.407] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:37:41.351] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:38:54.109] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:41:10.768] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:41:11.528] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:42:23.221] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:42:45.544] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:44:10.479] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:44:17.589] [ERROR] default - { rute: '/user/errorLogin', method: 'GET' }
[2023-01-18T23:44:17.738] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-18T23:44:17.741] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-18T23:44:18.456] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:44:21.204] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:44:22.125] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-18T23:44:22.134] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-18T23:44:22.458] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:46:46.266] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:46:47.331] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-18T23:46:47.335] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-18T23:46:47.669] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:49:21.674] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:49:23.213] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-18T23:49:23.220] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-18T23:49:23.826] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:49:25.291] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:49:28.970] [ERROR] default - { rute: '/user/errorLogin', method: 'GET' }
[2023-01-18T23:49:29.135] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-18T23:49:29.138] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-18T23:49:29.463] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:49:30.401] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:49:39.975] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-18T23:49:53.894] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-18T23:49:53.915] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-18T23:49:54.156] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:08:49.455] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:12:09.437] [WARN] default - { rute: '/dfs', method: 'GET' }
[2023-01-27T21:13:20.836] [WARN] default - { rute: '/dasdas', method: 'GET' }
[2023-01-27T21:14:55.764] [WARN] default - { rute: '/dasdas', method: 'GET' }
[2023-01-27T21:15:52.700] [WARN] default - { rute: '/dasdas', method: 'GET' }
[2023-01-27T21:17:39.816] [WARN] default - { rute: '/dasdas', method: 'GET' }
[2023-01-27T21:17:40.205] [WARN] default - { rute: '/logout', method: 'GET' }
[2023-01-27T21:20:47.177] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:22:59.071] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:23:04.122] [ERROR] default - { rute: '/user/errorLogin', method: 'GET' }
[2023-01-27T21:23:04.396] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-27T21:23:04.405] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-27T21:23:05.523] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:23:09.721] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:23:10.848] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-27T21:23:10.854] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-27T21:23:11.357] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:23:16.378] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:24:16.140] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:24:53.274] [WARN] default - { rute: '/dasdas', method: 'GET' }
[2023-01-27T21:41:00.937] [WARN] default - { rute: '/user', method: 'GET' }
[2023-01-27T21:41:17.013] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:42:27.360] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-27T21:42:27.366] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-27T21:42:28.590] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:42:30.468] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:42:31.353] [ERROR] default - { rute: '/user/errorLogin', method: 'GET' }
[2023-01-27T21:42:31.557] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-27T21:42:31.565] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-27T21:42:32.079] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:43:13.293] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:43:22.302] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:55:43.786] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:55:50.692] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:56:55.670] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:58:56.438] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-27T21:58:57.061] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-27T21:58:57.368] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:58:58.617] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T22:00:11.153] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T22:00:24.554] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:53:10.973] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:53:17.688] [WARN] default - { rute: '/graphql', method: 'GET' }
[2023-02-07T19:53:18.059] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:53:59.107] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:04.535] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:14.522] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:15.117] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:15.422] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:15.926] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:16.698] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
